District,x,y
Bagerhat,-92,-185
Bandarban,314,-308
Barguna,-36,-258
Barisal,11,-136
Bhola,61,-203
Bogura,-151,198
Brahmanbaria,110,42
Chandpur,64,-59
Chittagong,236,-217
Chuadanga,-237,-10
Comilla,117,-43
Cox's Bazar,255,-309
Dhaka,-4,24
Dinajpur,-259,338
Faridpur,-79,-24
Feni,163,-106
Gaibandha,-132,268
Gazipur,15,78
Gopalganj,-73,-96
Habiganj,170,115
Joypurhat,-198,239
Jamalpur,-83,212
Jessore,-183,-88
Jhalokati,-23,-170
Jhenaidah,-188,-21
Khagrachhari,246,-84
Khulna,-139,-205
Kishoreganj,88,117
Kurigram,-104,346
Kushtia,-202,40
Lakshmipur,73,-116
Lalmonirhat,-161,387
Madaripur,-35,-75
Magura,-145,-36
Manikganj,-61,32
Meherpur,-260,18
Moulvibazar,234,136
Munshiganj,5,-21
Mymensingh,13,161
Naogaon,-253,204
Narail,-120,-86
Narayanganj,35,23
Narsingdi,63,54
Natore,-198,119
Chapainawabganj,-333,169
Netrokona,80,195
Nilphamari,-226,383
Noakhali,117,-119
Pabna,-162,77
Panchagarh,-282,439
Patuakhali,18,-219
Pirojpur,-52,-161
Rajbari,-128,15
Rajshahi,-272,138
Rangamati,296,-158
Rangpur,-175,330
Satkhira,-200,-173
Shariatpur,5,-69
Sherpur,-42,238
Sirajganj,-125,121
Sunamganj,167,204
Sylhet,254,202
Tangail,-56,114
Thakurgaon,-316,386
